LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,,,,,T2M,,WS50M
50.8308,-58.9756,2000,5,18,5.46,,,,,4.33,,10.41
50.8308,-58.9756,2000,5,19,5.6,,,,,4.2,,9.77
50.8308,-58.9756,2000,5,20,8.43,,,,,3.24,,6
50.8308,-58.9756,2000,5,21,7.36,,,,,4.52,,4.99
50.8308,-58.9756,2000,5,22,7.27,,,,,4.72,,4.56
50.8308,-58.9756,2000,5,23,5.89,,,,,4.26,,6.67
50.8308,-58.9756,2000,5,24,5.36,,,,,2.71,,9.24
50.8308,-58.9756,2000,5,25,1.56,,,,,2.46,,9.58
50.8308,-58.9756,2000,5,26,1.74,,,,,4.21,,4.32
50.8308,-58.9756,2000,5,27,3.55,,,,,3.78,,4.85
50.8308,-58.9756,2000,5,28,3.23,,,,,3.95,,10.63
50.8308,-58.9756,2000,5,29,8.61,,,,,4.17,,4.41
50.8308,-58.9756,2000,5,30,8.73,,,,,5.54,,4.37
50.8308,-58.9756,2000,5,31,6.39,,,,,5.1,,8.73
50.8308,-58.9756,2000,6,1,3.45,,,,,6.55,,9.15
50.8308,-58.9756,2000,6,2,7.43,,,,,7.02,,6.73
50.8308,-58.9756,2000,6,3,2.52,,,,,6.82,,2.42
50.8308,-58.9756,2000,6,4,6.97,,,,,5.64,,8.64
50.8308,-58.9756,2000,6,5,7.27,,,,,4.64,,6.87
50.8308,-58.9756,2000,6,6,8.94,,,,,5.34,,5.21
50.8308,-58.9756,2000,6,7,1.37,,,,,4.91,,5.95
50.8308,-58.9756,2000,6,8,7.8,,,,,6.48,,6.82
50.8308,-58.9756,2000,6,9,1.97,,,,,6.67,,11.15
50.8308,-58.9756,2000,6,10,6.89,,,,,5.13,,10.58
50.8308,-58.9756,2000,6,11,7.08,,,,,6.81,,5.6
50.8308,-58.9756,2000,6,12,8.26,,,,,7.31,,5.19
50.8308,-58.9756,2000,6,13,5.81,,,,,8.04,,5.11
50.8308,-58.9756,2000,6,14,7.72,,,,,8.49,,5.19
50.8308,-58.9756,2000,6,15,3.76,,,,,7.79,,7.34
50.8308,-58.9756,2000,6,16,3.61,,,,,8.93,,7.37
50.8308,-58.9756,2000,6,17,6.21,,,,,10.8,,9.22
50.8308,-58.9756,2000,6,18,9.01,,,,,11.55,,6.47
50.8308,-58.9756,2000,6,19,8.86,,,,,9.73,,6.94
50.8308,-58.9756,2000,6,20,7.94,,,,,10.22,,7.22
50.8308,-58.9756,2000,6,21,8.39,,,,,9.81,,2.93
50.8308,-58.9756,2000,6,22,0.81,,,,,9.4,,7.4
50.8308,-58.9756,2000,6,23,0.99,,,,,10.06,,6.48
50.8308,-58.9756,2000,6,24,8.96,,,,,10.78,,7.49
50.8308,-58.9756,2000,6,25,7.63,,,,,11.03,,5.89
50.8308,-58.9756,2000,6,26,5.98,,,,,12.78,,8.24
50.8308,-58.9756,2000,6,27,7.7,,,,,11.91,,5.19
50.8308,-58.9756,2000,6,28,3.1,,,,,11.79,,4.67
50.8308,-58.9756,2000,6,29,6.19,,,,,11,,4.47
50.8308,-58.9756,2000,6,30,6.34,,,,,12.6,,3.54
50.8308,-58.9756,2000,7,1,4.65,,,,,10.81,,4.84
50.8308,-58.9756,2000,7,2,5.37,,,,,11.34,,4.82
50.8308,-58.9756,2000,7,3,2.04,,,,,12.21,,8.56
50.8308,-58.9756,2000,7,4,4.42,,,,,12.27,,3.38
50.8308,-58.9756,2000,7,5,0.51,,,,,12.86,,7.92
50.8308,-58.9756,2000,7,6,3.38,,,,,11.93,,10.1
50.8308,-58.9756,2000,7,7,7.35,,,,,11.81,,4.94
50.8308,-58.9756,2000,7,8,2.54,,,,,11.42,,9.79
50.8308,-58.9756,2000,7,9,2.14,,,,,11.03,,12.83
50.8308,-58.9756,2000,7,10,6.78,,,,,11.62,,6.86
50.8308,-58.9756,2000,7,11,1.5,,,,,12.03,,6.25
50.8308,-58.9756,2000,7,12,2.98,,,,,11.46,,6.82
50.8308,-58.9756,2000,7,13,5.2,,,,,10.92,,4.08
50.8308,-58.9756,2000,7,14,8.43,,,,,12.91,,6.38
50.8308,-58.9756,2000,7,15,8.31,,,,,13.83,,7.7
50.8308,-58.9756,2000,7,16,8.34,,,,,14.49,,6.88
50.8308,-58.9756,2000,7,17,7.04,,,,,14.27,,4.22
50.8308,-58.9756,2000,7,18,2.55,,,,,13.77,,5.35
50.8308,-58.9756,2000,7,19,2.24,,,,,14.03,,5.82
50.8308,-58.9756,2000,7,20,4.2,,,,,12.87,,9.49
50.8308,-58.9756,2000,7,21,4.31,,,,,12.75,,2.81
50.8308,-58.9756,2000,7,22,5.09,,,,,13.36,,5.08
50.8308,-58.9756,2000,7,23,2.05,,,,,13.07,,3.83
50.8308,-58.9756,2000,7,24,5.76,,,,,14.16,,4.11
50.8308,-58.9756,2000,7,25,4.82,,,,,13.99,,2.38
50.8308,-58.9756,2000,7,26,5.33,,,,,13.77,,2.63
50.8308,-58.9756,2000,7,27,5.52,,,,,14.19,,7.47
50.8308,-58.9756,2000,7,28,5.95,,,,,15.23,,9.39
50.8308,-58.9756,2000,7,29,5.03,,,,,15.69,,6.27
50.8308,-58.9756,2000,7,30,6.75,,,,,16.02,,2.04
50.8308,-58.9756,2000,7,31,7.8,,,,,16.43,,3.07
50.8308,-58.9756,2000,8,1,7.38,,,,,17.34,,5.92
50.8308,-58.9756,2000,8,2,7.01,,,,,17.13,,6.75
50.8308,-58.9756,2000,8,3,4.4,,,,,16.07,,7.1
50.8308,-58.9756,2000,8,4,2.09,,,,,15.43,,7.17
50.8308,-58.9756,2000,8,5,7,,,,,16.24,,8.39
50.8308,-58.9756,2000,8,6,7.53,,,,,16.01,,6.19
50.8308,-58.9756,2000,8,7,5.88,,,,,16.89,,6.55
50.8308,-58.9756,2000,8,8,1.25,,,,,16.26,,4.03
50.8308,-58.9756,2000,8,9,5.48,,,,,14.72,,6.02
50.8308,-58.9756,2000,8,10,1.2,,,,,13.94,,7.27
50.8308,-58.9756,2000,8,11,2.43,,,,,15.2,,5.59
50.8308,-58.9756,2000,8,12,6.41,,,,,14.87,,3.09
50.8308,-58.9756,2000,8,13,6.14,,,,,16.37,,7.93
50.8308,-58.9756,2000,8,14,4.87,,,,,16.33,,7.67
50.8308,-58.9756,2000,8,15,3.91,,,,,16.55,,4.53
50.8308,-58.9756,2000,8,16,3.61,,,,,16.62,,3.76
50.8308,-58.9756,2000,8,17,3.84,,,,,17.99,,8.36
50.8308,-58.9756,2000,8,18,5.3,,,,,16.7,,9.56
50.8308,-58.9756,2000,8,19,3.25,,,,,15.7,,4.88
50.8308,-58.9756,2000,8,20,2.93,,,,,15.93,,4.04
50.8308,-58.9756,2000,8,21,1.24,,,,,13.28,,9.91
50.8308,-58.9756,2000,8,22,4.44,,,,,13.17,,5.64
50.8308,-58.9756,2000,8,23,5.22,,,,,15.21,,7.1
50.8308,-58.9756,2000,8,24,3.83,,,,,16.06,,8.15
50.8308,-58.9756,2000,8,25,3.06,,,,,16.14,,8.95
50.8308,-58.9756,2000,8,26,5.98,,,,,15.94,,7.95
50.8308,-58.9756,2000,8,27,3.02,,,,,16.1,,5.58
50.8308,-58.9756,2000,8,28,5.67,,,,,14.64,,5.39
50.8308,-58.9756,2000,8,29,5.92,,,,,13.91,,4.48
50.8308,-58.9756,2000,8,30,5.19,,,,,15.26,,5.79
50.8308,-58.9756,2000,8,31,3.44,,,,,16.49,,4.45
50.8308,-58.9756,2000,9,1,3.69,,,,,15.74,,10.6
50.8308,-58.9756,2000,9,2,6.32,,,,,12.2,,7.04
50.8308,-58.9756,2000,9,3,4.36,,,,,12.74,,5.35
50.8308,-58.9756,2000,9,4,4.13,,,,,12.14,,3.09
50.8308,-58.9756,2000,9,5,2.22,,,,,11.65,,5.9
50.8308,-58.9756,2000,9,6,5.57,,,,,11.71,,6.82
50.8308,-58.9756,2000,9,7,4.6,,,,,13.16,,7.77
50.8308,-58.9756,2000,9,8,3.25,,,,,13.71,,8.54
50.8308,-58.9756,2000,9,9,3.29,,,,,13.73,,7.85
50.8308,-58.9756,2000,9,10,5.31,,,,,12.3,,5.22
50.8308,-58.9756,2000,9,11,4.38,,,,,12.78,,8.28
50.8308,-58.9756,2000,9,12,2.66,,,,,14.07,,9.55
50.8308,-58.9756,2000,9,13,0.75,,,,,14.12,,11
50.8308,-58.9756,2000,9,14,5.13,,,,,13.06,,5.72
50.8308,-58.9756,2000,9,15,4.44,,,,,13.33,,4.22
50.8308,-58.9756,2000,9,16,1.25,,,,,14.32,,8.85
50.8308,-58.9756,2000,9,17,3.01,,,,,13.11,,8.92
50.8308,-58.9756,2000,9,18,3.55,,,,,12.22,,10.07
50.8308,-58.9756,2000,9,19,4.59,,,,,11.49,,8.49
50.8308,-58.9756,2000,9,20,2.46,,,,,12.66,,4.99
50.8308,-58.9756,2000,9,21,1.45,,,,,15.16,,8.95
50.8308,-58.9756,2000,9,22,3.77,,,,,12.98,,9.24
50.8308,-58.9756,2000,9,23,4.71,,,,,10.08,,8.37
50.8308,-58.9756,2000,9,24,0.65,,,,,8.79,,5.93
50.8308,-58.9756,2000,9,25,1.67,,,,,6.88,,6.27
50.8308,-58.9756,2000,9,26,4.74,,,,,8.5,,6.42
50.8308,-58.9756,2000,9,27,3.06,,,,,10.17,,6.58
50.8308,-58.9756,2000,9,28,3.94,,,,,7.35,,6.3
50.8308,-58.9756,2000,9,29,2.77,,,,,5.88,,3.6
50.8308,-58.9756,2000,9,30,0.64,,,,,7.17,,9.02
50.8308,-58.9756,2000,10,1,3.96,,,,,6.04,,3.87
